Name,Files & media
"Odoo - Module Recruitment ","Applicator_Detail.png, Applicator.png, photo-output_3.png"
Odoo - Module Employee,"Hierarchy_EMployees.png, Employment_Types.png, Employee.png, Contract_Template.png, Bima_Sakti.png, Bima_Sakti_COntract.png, Bima_Sakti_2.png"
